,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
0,63.40576,15.979367214838598,62.52326595542621,0,0.10664228657148828,0.10665578240750222,-0.00043947042598990635,0.10709522083642757,0,0,0,0,0,440,nuda
1,58.99667,9.635588050778365,62.4707676664972,0,0.10689916850168975,0.10691067797222031,-0.00018407032128929724,0.10709471668121705,0,0,0,0,0,441,nuda
2,54.7981,3.396790714524543,62.41612820619342,0,0.10715145460660842,0.107159850523432,6.560896655350166e-05,0.10709421033280268,0,0,0,0,0,442,nuda
3,51.0697,0.0,62.35949810734651,0,0.10739812425088688,0.10740270518753581,0.0003089726018639902,0.10709370175327212,0,0,0,0,0,443,nuda
4,47.78708,0.0,62.30102727106298,0,0.1076381567991676,0.10763868544712886,0.0005454641051299689,0.10709319090474928,0,0,0,0,0,444,nuda
5,44.70685,0.0,62.240864878554525,0,0.10787053161609311,0.10786723113135231,0.0007745233432059221,0.10709267774953553,0,0,0,0,0,445,nuda
6,41.49533,0.0,62.179159310440504,0,0.10809422806630596,0.10808774091115018,0.0009955490244346092,0.10709216225024677,0,0,0,0,0,446,nuda
7,37.91119,0.0,62.1160580734656,0,0.10830822551444869,0.10829953902368616,0.0012078654229311261,0.10709164436994627,0,0,0,0,0,447,nuda
8,33.93097,0.0,62.05170773456054,0,0.10851150332516378,0.1085018459059591,0.0014106930120702324,0.1070911240722728,0,0,0,0,0,448,nuda
9,29.75638,0.0,61.98625386216029,0,0.1087030408630938,0.10869375257882184,0.0016031228483821616,0.10709060132156367,0,0,0,0,0,449,nuda
10,25.73911,0.0,61.919840974682096,0,0.10888181748570543,0.10887419895496524,0.001784094879419083,0.1070900760829723,0,0,0,0,0,450,nuda
11,22.21353,0.0,61.85261249605523,0,0.10904673084198674,0.10904195669485527,0.0019523807995808517,0.10708954832257955,0,0,0,0,0,451,nuda
12,19.35571,0.0,61.78471071818539,0,0.10919639422074562,0.10919561773680923,0.0021065725800864937,0.10708901800749848,0,0,0,0,0,452,nuda
13,17.08029,0.0,61.71627677022923,0,0.10932935909012259,0.1093335901083337,0.0022450782802147964,0.10708848510597165,0,0,0,0,0,453,nuda
14,15.11157,0.0,61.64745059454833,0,0.10944417691825811,0.10945410301148274,0.0023661271325735927,0.10708794958746015,0,0,0,0,0,454,nuda
15,13.06873,0.0,61.57837092920713,0,0.10953939917329272,0.10955522339454753,0.0024677861147093,0.10708741142272354,0,0,0,0,0,455,nuda
16,10.63651,0.0,61.509175296876236,0,0.1096135773233669,0.10963488621212593,0.002547990209106893,0.10708687058388953,0,0,0,0,0,456,nuda
17,7.676086,0.0,61.44,0,0.10966526283662112,0.10969094028404894,0.002604588262057887,0.10708632704451242,0,0,0,0,0,457,nuda
18,4.259186,0.0,61.37098012208682,0,0.1096930071811959,0.10972121105871897,0.002635405746952732,0.10708578077961904,0,0,0,0,0,458,nuda
