timestamp,value,norm_ts
1618821125.69089,-25.35216,2.7675201892852783
1618821125.70651,-26.78214,2.783140182495117
1618821125.72214,-25.3112,2.7987701892852783
1618821125.73776,-20.63559,2.814390182495117
1618821125.75339,-13.24734,2.8300201892852783
1618821125.76902,-4.252747,2.8456501960754395
1618821125.78464,4.988922,2.8612701892852783
1618821125.80027,13.32118,2.8769001960754395
1618821125.81589,20.0209,2.8925201892852783
1618821125.83152,24.78442,2.9081501960754395
1618821125.84714,27.5574,2.9237701892852783
1618821125.86277,28.39986,2.9394001960754395
1618821125.8784,27.45824,2.9550302028656006
1618821125.89402,24.98955,2.9706501960754395
1618821125.90965,21.55972,2.9862802028656006
1618821125.92527,17.89944,3.0019001960754395
1618821125.9409,14.72108,3.0175302028656006
1618821125.95652,12.5314,3.0331501960754395
1618821125.97215,11.48759,3.0487802028656006
1618821125.98778,11.35808,3.0644102096557617
1618821126.0034,11.71049,3.0800302028656006
1618821126.01903,12.12518,3.0956602096557617
1618821126.03465,12.22577,3.1112802028656006
1618821126.05028,11.82802,3.1269102096557617
1618821126.0659,10.85165,3.1425302028656006
1618821126.08153,9.286957,3.1581602096557617
1618821126.09716,7.261673,3.173790216445923
1618821126.11278,4.932159,3.1894102096557617
1618821126.12841,2.427032,3.205040216445923
1618821126.14403,-0.198822,3.2206602096557617
1618821126.15966,-3.04512,3.236290216445923
1618821126.17528,-6.349625,3.2519102096557617
1618821126.19091,-10.36726,3.267540216445923
1618821126.20654,-15.14767,3.283170223236084
1618821126.22216,-20.40611,3.298790216445923
1618821126.23779,-25.31685,3.314420223236084
1618821126.25341,-28.761,3.330040216445923
1618821126.26904,-29.61516,3.345670223236084
1618821126.28466,-27.20969,3.361290216445923
1618821126.30029,-21.6487,3.376920223236084
1618821126.31592,-13.8325,3.392550230026245
1618821126.33154,-5.062286,3.408170223236084
1618821126.34717,3.330719,3.423800230026245
1618821126.36279,10.42648,3.439420223236084
1618821126.37842,15.88661,3.455050230026245
1618821126.39404,19.77803,3.470670223236084
1618821126.40967,22.34862,3.486300230026245
1618821126.4253,23.74127,3.501929998397827
1618821126.44092,23.94115,3.517550230026245
1618821126.45655,22.92282,3.533179998397827
1618821126.47217,20.90784,3.548800230026245
1618821126.4878,18.34143,3.564429998397827
1618821126.50342,15.83337,3.580050230026245
1618821126.51905,13.94987,3.595679998397827
1618821126.53468,12.96832,3.6113100051879883
1618821126.5503,12.87602,3.626929998397827
1618821126.56593,13.36089,3.6425600051879883
1618821126.58155,13.92653,3.658179998397827
1618821126.59718,14.15942,3.6738100051879883
1618821126.6128,13.8145,3.689429998397827
1618821126.62843,12.83987,3.7050600051879883
1618821126.64406,11.33615,3.7206900119781494
1618821126.65968,9.50618,3.7363100051879883
1618821126.67531,7.509506,3.7519400119781494
1618821126.69093,5.435928,3.7675600051879883
1618821126.70656,3.27121,3.7831900119781494
1618821126.72218,0.8410797,3.7988100051879883
1618821126.73781,-2.061279,3.8144400119781494
1618821126.75344,-5.57785,3.8300700187683105
1618821126.76906,-9.70639,3.8456900119781494
1618821126.78469,-14.18694,3.8613200187683105
1618821126.80031,-18.48952,3.8769400119781494
1618821126.81594,-21.90735,3.8925700187683105
1618821126.83156,-23.71321,3.9081900119781494
1618821126.84719,-23.34169,3.9238200187683105
1618821126.86282,-20.59685,3.9394500255584717
1618821126.87844,-15.73341,3.9550700187683105
1618821126.89407,-9.427292,3.9707000255584717
1618821126.90969,-2.565964,3.9863200187683105
1618821126.92532,3.99852,4.001950025558472
1618821126.94094,9.641037,4.0175700187683105
1618821126.95657,14.08571,4.033200025558472
1618821126.9722,17.32545,4.048830032348633
1618821126.98782,19.5238,4.064450025558472
1618821127.00345,20.81981,4.080080032348633
1618821127.01907,21.31718,4.095700025558472
1618821127.0347,21.03357,4.111330032348633
1618821127.05032,20.10716,4.126950025558472
1618821127.06595,18.77762,4.142580032348633
1618821127.08158,17.33339,4.158210039138794
1618821127.0972,16.08177,4.173830032348633
1618821127.11283,15.19595,4.189460039138794
1618821127.12845,14.66612,4.205080032348633
1618821127.14408,14.31944,4.220710039138794
1618821127.1597,13.86647,4.236330032348633
1618821127.17533,13.0195,4.251960039138794
1618821127.19096,11.60231,4.267590045928955
1618821127.20658,9.641998,4.283210039138794
1618821127.22221,7.315872,4.298840045928955
1618821127.23783,4.918427,4.314460039138794
1618821127.25346,2.749786,4.330090045928955
1618821127.26908,0.9615631,4.345710039138794
1618821127.28471,-0.4792786,4.361340045928955
1618821127.30034,-1.78479,4.376970052719116
1618821127.31596,-3.278557,4.392590045928955
1618821127.33159,-5.299828,4.408220052719116
1618821127.34721,-8.0355,4.423840045928955
1618821127.36284,-11.5461,4.439470052719116
1618821127.37846,-15.58955,4.455090045928955
1618821127.39409,-19.64349,4.470720052719116
1618821127.40972,-22.92348,4.486350059509277
1618821127.42534,-24.48932,4.501970052719116
1618821127.44097,-23.56294,4.517600059509277
1618821127.45659,-19.83004,4.533220052719116
1618821127.47222,-13.68188,4.548850059509277
1618821127.48784,-6.072701,4.564470052719116
1618821127.50347,1.769859,4.580100059509277
1618821127.5191,8.801422,4.5957300662994385
1618821127.53472,14.41109,4.611350059509277
1618821127.55035,18.50111,4.6269800662994385
1618821127.56597,21.35954,4.642600059509277
1618821127.5816,23.30111,4.6582300662994385
1618821127.59722,24.50153,4.673850059509277
1618821127.61285,24.98415,4.6894800662994385
1618821127.62848,24.66926,4.7051100730896
1618821127.6441,23.56608,4.7207300662994385
1618821127.65973,21.82842,4.7363600730896
