,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_ApEn,HRV_SampEn,type,Condition
0,,,,0.13915153826861382,0.013520298142371826,,,0.9114420939696055,-1.9721917363202532,406.8408389603577,925.78125,286.2459501051725,413.55800189833076,0.3091939376663467,0.43945677119768595,875.0,173.7421875,0.1985625,226.5625,71.875,81.25,1281.25,2.909090909090909,292.4296675562688,288.0109743057797,1.015342100283296,264594.2118812052,0.984889723100209,6.129550449527756,1134.6361949353632,0.59375,0.6451612903225806,0.85,0.2857142857142857,49.58677685950414,49.05882291871527,50.19034543174833,54.83870967741935,0.5505067326450017,0.4494932673549984,216.97569108274163,196.06106550319979,0.41420497822909125,0.5857950217709089,185.36028710778515,220.4356715322726,0.4833947205247672,0.5166052794752328,201.78811481045395,208.60468198261273,0.42961643928697857,2.0149030205422647,stimul,radost
0,,,,,,,,,,1278.0543226179786,1255.2083333333333,760.7198311194032,1778.8154964224086,0.6060506538378648,1.0182009541188877,1062.5,671.8031249999999,0.632285294117647,742.1875,66.66666666666666,66.66666666666666,1484.375,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base,radost
