,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
0,-88.55104,0.0,80.02283756779903,0,1.0967260000000003,1.096786666717992,0.0016604270993356793,1.095126391228554,0,0,0,0,0,0,neutral
1,-97.88506,0.0,80.02283756779903,0,1.0967497549153482,1.0969018421028012,0.0017843333690323259,1.0951176608406177,0,0,0,0,0,1,neutral
2,-107.2984,0.0,80.02283756779903,0,1.0968199811857071,1.0970164728119143,0.0019077555779360988,1.095108869837562,0,0,0,0,0,2,neutral
3,-116.9577,0.0,80.02283756779903,0,1.0969351210975513,1.097139146709153,0.002039281792931939,1.0951000180163104,0,0,0,0,0,3,neutral
4,-127.1279,0.0,80.02283756779903,0,1.0970936169373537,1.0972781931291489,0.0021872415506045584,1.0950911051748962,0,0,0,0,0,4,neutral
5,-138.0922,0.0,80.02283756779903,0,1.097293910991588,1.0974412761012253,0.0023592990810416803,1.0950821311125407,0,0,0,0,0,5,neutral
6,-149.7884,0.0,80.02283756779903,0,1.097534445546728,1.0976350685988518,0.00256212755720057,1.0950730956297432,0,0,0,0,0,6,neutral
7,-161.4025,0.0,80.02283756779903,0,1.0978136628892465,1.097865017749465,0.0028011743046262487,1.095063998528381,0,0,0,0,0,7,neutral
8,-171.179,0.0,80.02283756779903,0,1.098130005305618,1.0981352009511276,0.0030805169179921213,1.0950548396118291,0,0,0,0,0,8,neutral
9,-176.5843,0.0,80.02283756779903,0,1.0984819150823153,1.0984482645985414,0.003402801986972723,1.0950456186851008,0,0,0,0,0,9,neutral
10,-174.9397,0.0,80.02283756779903,0,1.0988678345058125,1.098805431264802,0.0037692522778353427,1.09503633555501,0,0,0,0,0,10,neutral
11,-164.2372,0.0,80.02283756779903,0,1.0992862058625825,1.0992065579489407,0.004179724980795161,1.0950269900303593,0,0,0,0,0,11,neutral
12,-143.6768,0.0,80.02283756779903,0,1.0997354714390994,1.099650227280519,0.004632802914394887,1.0950175819221528,0,0,0,0,0,12,neutral
13,-113.8814,0.0,80.02283756779903,0,1.1002140735218364,1.100133855016771,0.00512590202241167,1.095008111043833,0,0,0,0,0,13,neutral
14,-76.74005,0.0,80.02283756779903,0,1.100720454397267,1.1006538002505426,0.005655381581533422,1.0949985772115443,0,0,0,0,0,14,neutral
15,-34.9612,0.0,80.02283756779903,0,1.1012530563518652,1.1012054688540682,0.006216647644849171,1.094988980244417,0,0,0,0,0,15,neutral
16,8.240402,0.0,80.02283756779903,0,1.101810321672104,1.101783405185387,0.006804244747960513,1.0949793199648743,0,0,0,0,0,16,neutral
17,49.37289,16.02759521594968,80.02283756779903,0,1.1023897834438092,1.1023813714068758,0.007411935227188918,1.0949695961989563,0,0,0,0,0,17,neutral
18,85.01776,50.54172872528035,80.02283756779903,0,1.1029845142279793,1.1029924174508312,0.008032769184820111,1.0949598087766592,0,0,0,0,0,18,neutral
19,112.2608,76.6793501565084,80.02283756779903,0,1.1035862209092062,1.1036089474162583,0.008659150885539774,1.0949499575322867,0,0,0,0,0,19,neutral
20,129.2586,92.978707745624,80.02283756779903,0,1.1041866100210613,1.1042227898627015,0.009282909049908597,1.0949400423048077,0,0,0,0,0,20,neutral
21,135.7033,99.27399333032604,80.02283756779903,1,1.1047773880971168,1.1048252800824678,0.009895379126222839,1.094930062938218,0,0,0,0,0,21,neutral
22,132.8267,96.56748070435435,79.51494660831347,0,1.1053502616709439,1.1054073620558704,0.010487505245398572,1.0949200192818997,0,0,0,0,0,22,neutral
23,122.8397,86.64479896561919,79.02445085052207,0,1.1058969372761152,1.1059597165232617,0.01104996829265106,1.0949099111909746,0,0,0,0,0,23,neutral
24,108.1827,71.56530218543767,78.5507540394675,0,1.1064091214462017,1.106472919549717,0.011573344471838384,1.0948997385266441,0,0,0,0,0,24,neutral
25,90.76083,53.21286172848954,78.0932898352578,0,1.1068785207147758,1.106937633240367,0.012048296020470285,1.0948895011565147,0,0,0,0,0,25,neutral
26,71.73358,33.057347948124075,77.65152000900432,0,1.1072968416154085,1.107344827051913,0.012465792520920267,1.0948791989548978,0,0,0,0,0,26,neutral
27,51.76711,12.170192484797745,77.22493276844679,0,1.1076557906816726,1.1076860246561548,0.012817357763682492,1.0948688318030833,0,0,0,0,0,27,neutral
28,31.46533,0.0,76.81304120252459,0,1.1079470744471387,1.107953567818259,0.013095333625399202,1.0948583995895798,0,0,0,0,0,28,neutral
29,11.78896,0.0,76.41538183515732,0,1.1081623994453795,1.1081408855792347,0.01329314925113448,1.0948479022103164,0,0,0,0,0,29,neutral
30,-5.925369,0.0,76.03151327939862,0,1.1082934722099664,1.1082427545316598,0.01340558132994124,1.094837339568802,0,0,0,0,0,30,neutral
31,-20.19724,0.0,75.66101498393446,0,1.1083319992744713,1.108255534498366,0.013428989773433474,1.0948267115762387,0,1,-2147483648,-2147483648,0,31,neutral
32,-29.89496,0.0,75.30348606462255,0,1.1082696871724658,1.1081773637599355,0.013361512943216847,1.0948160181515865,0,0,0,0,0,32,neutral
33,-34.27237,0.0,74.95854421442222,0,1.1081002805338624,1.108008299304684,0.013203207900860447,1.0948052592215758,0,0,0,0,0,33,neutral
34,-33.06514,0.0,74.62582468565184,0,1.107829827393166,1.1077503903796617,0.012956123958936005,1.0947944347206684,0,0,0,0,0,34,neutral
35,-26.41541,0.0,74.30497933904046,0,1.107468969557439,1.1074076776425394,0.012624301832996138,1.0947835445909657,0,0,0,0,0,35,neutral
36,-14.95787,0.0,73.99567575451891,0,1.1070283567312227,1.1069861149582316,0.01221369543833919,1.0947725887820672,0,0,0,0,0,36,neutral
37,-0.005722046,0.0,73.69759639912785,0,1.1065186386190564,1.1064934157374906,0.01173201822879403,1.09476156725088,0,0,0,0,0,37,neutral
38,16.51033,0.0,73.41043784781105,0,1.1059504649254817,1.105938830118658,0.011188520378708572,1.0947504799613808,0,0,0,0,0,38,neutral
39,32.30577,0.0,73.13391005321722,0,1.105334485355038,1.1053328628792454,0.010593706694806613,1.0947393268843406,0,0,0,0,0,39,neutral
40,45.48564,4.248807294733121,72.86773566095383,0,1.1046813496122658,1.104686944586413,0.00995900776697918,1.0947281079970115,0,0,0,0,0,40,neutral
41,55.05852,14.455425114003617,72.61164936702897,0,1.1040017074017054,1.1040130701868147,0.009296418558471988,1.0947168232827846,0,0,0,0,0,41,neutral
42,61.33522,21.86727136322154,72.36539731448156,0,1.1033062084278973,1.103323420128335,0.008618119527986372,1.0947054727308254,0,0,0,0,0,42,neutral
43,65.54428,27.24265420376279,72.12873652644137,0,1.1026055023953818,1.10262997935868,0.007936095628653295,1.0946940563356922,0,0,0,0,0,43,neutral
44,69.1221,31.564768279015574,71.9014343730799,0,1.1019102390086997,1.1019441692928695,0.0072617682759146054,1.094682574096946,0,0,0,0,0,44,neutral
45,73.00281,35.6149336869782,71.68326807011266,0,1.1012310679723902,1.1012765071592947,0.0066056546939733205,1.0946710260187573,0,0,0,0,0,45,neutral
46,77.20978,39.70366483485738,71.47402420669616,0,1.1005786389909946,1.100636306028745,0.005977067945209052,1.0946594121095186,0,0,0,0,0,46,neutral
47,81.05878,43.641782997309384,71.27349830072927,0,1.0999636017690528,1.1000314272508787,0.0053838693670269855,1.0946477323814645,0,0,0,0,0,47,neutral
48,83.62787,46.90873006237441,71.0814943797207,0,1.0993966060111051,1.0994680948900564,0.004832283008054952,1.094635986850311,0,0,0,0,0,48,neutral
49,84.34372,48.893790005502055,70.8978245855234,0,1.098887012095007,1.0989507790147162,0.004326778917859547,1.0946241755349115,0,0,0,0,0,49,neutral
50,83.03229,49.09079269104186,70.72230880136478,0,1.0984345399280158,1.0984821513888399,0.003870028838732383,1.0946122984569384,0,0,0,0,0,50,neutral
51,79.8923,47.20130746342884,70.55477429971722,0,1.0980345444945196,1.098063113423626,0.003462934157654782,1.0946003556405899,0,0,0,0,0,51,neutral
52,75.13864,43.18363091584177,70.39505540966155,0,1.0976823592281513,1.097692892506862,0.003104722235936567,1.0945883471123259,0,0,0,0,0,52,neutral
53,68.90091,37.312968394139475,70.24299320249337,0,1.0973733175625426,1.0973691994475032,0.0027931038540304747,1.0945762729006303,0,0,0,0,0,53,neutral
54,61.42896,30.27282095904716,70.09843519441344,0,1.0971027529313258,1.097088437111674,0.002524481847742152,1.0945641330358036,0,0,0,0,0,54,neutral
55,53.38425,23.215363462095837,69.96123506522511,0,1.0968659987681333,1.0968459485843636,0.002294199270108286,1.09455192754978,0,0,0,0,0,55,neutral
56,46.08966,17.67694231357238,69.83125239203889,0,1.0966583885065972,1.0966362923851973,0.0020968146073242046,1.0945396564759706,0,0,0,0,0,56,neutral
57,41.31107,15.265721237194764,69.70835239705424,0,1.0964752555803496,1.0964535322702742,0.001926391580717636,1.0945273198491283,0,0,0,0,0,57,neutral
58,40.77249,17.151883118001145,69.59240570855303,0,1.0963119334230231,1.096291529760896,0.0017767916755936782,1.094514917705231,0,0,0,0,0,58,neutral
59,45.202,23.529812413308424,69.48328813429966,0,1.0961637554682497,1.0961442285329748,0.0016419585307433533,1.0945024500813803,0,0,0,0,0,59,neutral
60,53.84399,33.30282439789666,69.38088044659656,0,1.0960260551496617,1.0960059209863011,0.0015161845078006202,1.0944899170157145,0,0,0,0,0,60,neutral
61,64.31442,44.2024270722595,69.28506817829583,0,1.0958941659008912,1.0958714885578305,0.0013943510046077025,1.0944773185473278,0,0,0,0,0,61,neutral
62,73.27893,53.39417984574295,69.1957414291139,0,1.0957634211555705,1.095736608586372,0.0012721353199796654,1.094464654716195,0,0,0,0,0,62,neutral
63,77.5975,58.40593140830945,69.11279468163981,0,1.095629154347332,1.0955979217837575,0.001146178124944137,1.0944519255631,0,0,0,0,0,63,neutral
