timestamp,value,norm_ts
1619375659.87576,0.7344089,23.26576018333435
1619375660.59454,0.7187833,23.984540224075317
1619375661.2977,0.7031574,24.687700033187866
1619375679.39228,0.6406546,42.7822802066803
1619375680.14232,0.7500348,43.53232002258301
1619375680.8611,0.7187833,44.251100063323975
1619375681.57989,0.7187831,44.969890117645264
1619375695.89305,0.7031577,59.28305006027222
1619375696.62746,0.7344089,60.017460107803345
1619375697.26811,0.6406548,60.65811014175415
1619375697.89314,0.6250288,61.28314018249512
1619375698.62755,0.7344091,62.017549991607666
1619375699.29946,0.671906,62.689460039138794
1619375699.95574,0.6562805,63.34574007987976
1619375700.59639,0.6406546,63.986390113830566
1619375701.2683,0.6719062,64.6583001613617
1619375712.03442,0.7344091,75.42442011833191
1619375715.56584,0.7031577,78.95584011077881
1619375716.22212,0.6562805,79.61212015151978
1619375716.8784,0.6562803,80.26840019226074
1619375717.50342,0.6250288,80.89342021942139
1619375718.12845,0.6250291,81.51845002174377
1619375718.84724,0.7187831,82.23724007606506
1619375719.40976,0.5625262,82.79976010322571
1619375719.98792,0.5781517,83.37792015075684
