,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
0,24.8717,41.24967611284466,96.0,0,0.17149603165444763,0.1715858375834155,-0.04330177749904089,0.2148859142819308,0,0,0,0,0,1606,neutral
1,26.01833,42.48439528825168,96.0,1,0.16855922425276207,0.16859407821169367,-0.04624985200203027,0.2148422248651823,0,0,0,0,0,1607,neutral
2,25.24301,41.711750609032364,96.00979834652904,0,0.16581892441259133,0.16578870337293614,-0.049011675215540514,0.2147986687014714,0,0,0,0,0,1608,neutral
3,23.23667,39.60546077359526,96.03850501367364,0,0.16329051215943796,0.1631919504477761,-0.051565011143561754,0.21475524717559769,0,0,0,0,0,1609,neutral
4,20.65637,36.83488519900581,96.08510234680813,0,0.16098936751880438,0.16082533758529696,-0.053888342993237894,0.21471196164396572,0,0,0,0,0,1610,neutral
5,17.99976,33.914279326613155,96.14858945155073,0,0.15893087051619315,0.15870984941771313,-0.05596068745870951,0.2146688134331088,0,0,0,0,0,1611,neutral
6,15.56552,31.12210820137033,96.22797851740894,0,0.15713040117710644,0.15686603173230518,-0.057761500047835826,0.21462580383834606,0,0,0,0,0,1612,neutral
7,13.43756,28.504828777596547,96.32229138171897,0,0.1556033395270475,0.15531395882494584,-0.059270707727471506,0.2145829341225851,0,0,0,0,0,1613,neutral
8,11.50311,25.95677046419237,96.43055631830413,0,0.15436506559151847,0.15407304660438578,-0.06046889581814116,0.2145402055152825,0,0,0,0,0,1614,neutral
9,9.555283,23.34515591263929,96.55180503827091,0,0.15343095939602186,0.1531616969720969,-0.06133766361332532,0.21449761921157293,0,0,0,0,0,1615,neutral
10,7.453865,20.63163085166765,96.68506989310467,0,0.1528164009660602,0.15259677378192804,-0.06186014841911436,0.21445517637157896,0,0,0,0,0,1616,neutral
11,5.231956,17.937433469037504,96.82938127274734,0,0.15253677032713595,0.15239292672998703,-0.062021701663827054,0.21441287811991147,0,0,0,0,0,1617,neutral
12,3.173439,15.516509847604862,96.98376519366514,0,0.15260744750475164,0.15256179556003188,-0.061810684692320164,0.21437072554537054,0,0,0,0,0,1618,neutral
13,1.711517,13.639057542730113,97.14724107406316,0,0.1530438125244098,0.153111141564992,-0.06121933726437673,0.21432871970085493,0,0,0,0,0,1619,neutral
14,1.145332,12.433384811524984,97.31881969539096,0,0.15386124541161317,0.1540439650436018,-0.0602446600981973,0.21428686160348692,0,0,0,0,0,1620,neutral
15,1.464134,11.763344282494673,97.49750135112124,0,0.15507512619186387,0.15535767474561113,-0.058889245425533615,0.21424515223495638,0,0,0,0,0,1621,neutral
16,2.193291,11.212125443661813,97.68227418547295,0,0.15670082878689554,0.1570433772979962,-0.05716198756604274,0.21420359254208604,0,0,0,0,0,1622,neutral
17,2.603447,10.198395598236356,97.87211272629983,0,0.158739743424388,0.15908535054176925,-0.05507860959126194,0.2141621834376158,0,0,0,0,0,1623,neutral
18,1.938164,8.186851483587963,98.06597661776752,0,0.16114945814628653,0.16146075476953023,-0.0526619520880551,0.21412092580120104,0,0,0,0,0,1624,neutral
19,-0.2104721,4.904062113430448,98.26280955969585,0,0.1638790074957899,0.16413962108677935,-0.04994198479850328,0.21407982048061547,0,0,0,0,0,1625,neutral
20,-3.713181,0.45955239537245246,98.46153846153847,0,0.1668774260160968,0.1670851383581806,-0.04695551967503563,0.2140388682931457,0,0,0,0,0,1626,neutral
21,-7.998062,0.0,98.66107281989811,0,0.17009374825040685,0.17025424159556535,-0.04374562249399428,0.21399807002715981,0,0,0,0,0,1627,neutral
22,-12.26674,0.0,98.86030432922206,0,0.17347700874191732,0.17359848706505446,-0.04036073775023382,0.2139574264438289,0,0,0,0,0,1628,neutral
23,-15.90311,0.0,99.05810673586822,0,0.17697624203382764,0.17706518402243418,-0.03685355692359506,0.21391693827897662,0,0,0,0,0,1629,neutral
24,-18.67341,0.0,99.25333594606714,0,0.1805404826693366,0.18059874030052864,-0.03327967289348252,0.2138766062450293,0,0,0,0,0,1630,neutral
25,-20.88487,0.0,99.44483039840517,0,0.18411876519164297,0.18414216894382346,-0.029696073306261072,0.21383643103303618,0,0,0,0,0,1631,neutral
26,-23.17362,0.0,99.63141171130276,0,0.18766012414394553,0.18763869547178597,-0.026159533313994277,0.21379641331472785,0,0,0,0,0,1632,neutral
27,-26.26582,0.0,99.81188561554029,0,0.191113594069443,0.19103339993493648,-0.02272497352043733,0.21375655374458066,0,0,0,0,0,1633,neutral
28,-30.56611,0.0,99.98504318117111,0,0.1944282095113342,0.19427482467707197,-0.019443852220850863,0.2137168529618541,0,0,0,0,0,1634,neutral
29,-35.8706,0.0,100.14966234714365,0,0.19755300501281856,0.19731647786981354,-0.016362661869432707,0.21367731159256997,0,0,0,0,0,1635,neutral
30,-41.20159,0.0,100.30450976061175,0,0.2004370151170934,0.20011816493012843,-0.01352159766368745,0.2136379302514041,0,0,0,0,0,1636,neutral
31,-44.81863,0.0,100.44834293123833,0,0.20302927436735818,0.2026470854983325,-0.010953460568201415,0.2135987095434637,0,0,0,0,0,1637,neutral
32,-44.65218,0.0,100.57991270377711,0,0.2052788174781056,0.20487864331481045,-0.008682847439562283,0.21355965006592728,0,0,0,0,0,1638,neutral
33,-38.797,0.0,100.69796604985473,0,0.20714894085091332,0.20679693031617202,-0.006725666931687014,0.21352075240952878,0,0,0,0,0,1639,neutral
