,PPG_Rate,EDA_Tonic,EDA_Phasic,Condition,Gender
1,39.613035927548154,0.21804335992447826,0.015826220149728214,neutral,muz
2,-4.458129660228117,0.029970585372292635,-0.011510246471555071,nuda,muz
3,-3.1199767347364045,0.03870846789998256,-0.008650612341587286,neutral,muz
4,4.526186814803239,0.058490844296933686,-0.018320110617321163,nuda,muz
1,87.34996774181957,0.208068410084807,0.001059472948263219,neutral,muz
2,-40.54458917858035,-0.0012780860417979656,0.00038807898707559686,nuda,muz
3,-36.594011289264074,0.027149905980138195,0.0005240324335675367,neutral,muz
4,-31.139226070621078,0.03925891724820044,0.005778903425235224,nuda,muz
5,-44.97211142631887,0.08450172683035753,0.004997339751430414,neutral,muz
6,-47.628101384509094,0.09590914237529805,0.002433459492367833,nuda,muz
1,68.0801934685868,1.1582579594563704,-0.009560953493096526,neutral,muz
2,-12.669408544824925,0.0877767319417122,0.012443747279449979,nuda,muz
3,24.28700899779676,0.062919476704284,-0.023262927045296367,neutral,muz
4,41.47421307121614,0.04531927348502096,-0.01952376971351782,nuda,muz
5,-15.642651236866158,0.01850172487274304,0.020736654434004978,neutral,muz
6,-5.160157501101338,-0.007457351872689255,0.011288572649480313,nuda,muz
1,69.46265653235875,0.6206886488444187,0.005028584491807799,neutral,muz
2,-12.193454673719216,-0.05864619724098985,-0.010435405948787498,nuda,muz
3,-24.885107128018348,-0.08924571158982775,0.0347146040204123,neutral,muz
4,-13.359553740101042,-0.09372210245918422,-0.015376661409713568,nuda,muz
5,18.7160428603745,-0.17750979640326975,-0.0136215474631254,neutral,muz
6,-4.4982098538283,-0.2093273266033307,-0.012665348803242183,nuda,muz
1,79.77642765027012,0.6543370908678295,0.006656418557087157,neutral,muz
2,-9.381498716907885,-0.00337751650775997,-0.0071392912982257755,nuda,muz
3,56.44737978879938,-0.013364055159390653,-0.0076935094181491345,neutral,muz
4,-10.934708108470488,-0.02527643117812184,-0.00252620872094419,nuda,muz
5,-19.9419780292936,-0.06877574072377857,-0.012586861657878562,neutral,muz
6,-12.02451563265322,-0.07256947131335145,-0.006011815068361074,nuda,muz
1,84.83054631572958,0.7718353983784112,-0.0204899314486239,neutral,muz
2,-17.768989965697557,0.056641979144195775,0.02094634962575407,nuda,muz
3,-11.657876712520988,0.16766283701523987,0.0016598324125458516,neutral,muz
4,-24.436904030359116,0.2248231462747594,0.04220866384334508,nuda,muz
5,-9.783687267784117,0.17581105433277588,0.015202903626792174,neutral,muz
6,-26.06721050611406,0.15825673171957932,0.022364863641768665,nuda,muz
1,98.90876595065028,0.4854701521734671,0.031731801336401334,neutral,zena
2,18.553684998153216,0.05643119673971586,-0.010024540783104215,nuda,zena
3,-23.71001302947731,-0.011245809436161658,-0.02781027381017274,neutral,zena
4,-26.543572014511497,-0.03473005916878358,-0.02183264116181416,nuda,zena
5,1.5282657522257637,-0.17475678333160372,-0.030924522882510908,neutral,zena
6,-7.912638325226126,-0.18024433208102897,-0.0317441902652841,nuda,zena
1,77.1895881215276,0.07927839516873599,-0.00046003689481491437,neutral,zena
2,-31.660478795769492,-4.169186866521957e-05,0.002430582611925989,nuda,zena
3,-31.439265902730845,-0.000774689871790829,-0.0006780145932664955,neutral,zena
4,-16.23682689270626,-0.0006623231708348803,-3.070460961515989e-05,nuda,zena
5,-38.23537389351448,-0.011395792911551086,0.0014621487408703476,neutral,zena
6,-20.03789319639288,-0.012392534353821594,0.0002388317646205422,nuda,zena
1,81.64826108455581,0.1827097445592743,0.0012665453196110004,neutral,muz
2,-25.708135491349402,0.003022478245671867,-0.0009988238256685518,nuda,muz
3,7.8668807459080625,0.005089889624144361,-0.0006619453450189093,neutral,muz
4,-8.165846906403985,0.006894892431709626,-0.0009024158470256288,nuda,muz
5,-25.81765769961396,0.01211253307062593,-0.00047950474108098473,neutral,muz
6,1.4389169169359945,0.012918466821758012,-0.001033510867795246,nuda,muz
1,69.20840914465924,0.1447172922907095,0.012163605476278174,neutral,zena
2,-0.3823706817049839,0.01792768551470711,-0.02052104061854433,nuda,zena
3,0.9062959383649343,0.050230814774170574,-0.019372722396597614,neutral,zena
4,4.755377280548089,0.0734257066185274,-0.02575249010547275,nuda,zena
5,-17.35807789016861,0.16433934165042102,-0.02384514965155643,neutral,zena
6,-1.564747585727659,0.18165218452555942,-0.03257148817792935,nuda,zena
1,66.82027426277375,0.19211204983190114,0.0028772458010038167,neutral,zena
2,-9.58858903435786,0.006093687839132722,-0.000346284293088181,nuda,zena
3,3.8318612663430542,0.004677294688837652,-0.004685589965535171,neutral,zena
4,3.6667764166090677,0.004631260431292472,-0.0014533831178708148,nuda,zena
5,-9.831577161703706,-0.01515673595733208,-0.0043688716074480344,neutral,zena
6,2.581520483920116,-0.016037790415673908,-0.005613912242107401,nuda,zena
1,75.4906054279749,0.16788282522034131,0.0013119180652022256,neutral,zena
2,6.165393560208045,0.0016380065587061066,0.0007780846823877731,nuda,zena
3,-12.025695472758677,0.0036697708040207833,0.00034939221963062577,neutral,zena
4,-19.557877718147004,0.0037505738545114964,-0.0008661507654046547,nuda,zena
5,-3.8670762157596954,0.005005880942844543,-0.00016323741430351803,neutral,zena
6,0.3549313824826186,0.005767619392742951,-0.0018682730825243829,nuda,zena
1,65.87311733398533,0.10729553183248179,-0.0009704757580031728,neutral,zena
2,-3.8097070718556623,-0.00021818142495165505,0.001919493529268402,nuda,zena
3,-15.705083436351352,-0.0002882902875632892,0.0011603479251582056,neutral,zena
4,-4.126568626896301,0.0009768975702719868,0.0016138016246719832,nuda,zena
5,1.511903230889061,0.0015701645223274996,-0.0005029347515893986,neutral,zena
6,0.9453712612159393,0.0016225467851249536,0.0005721117640576873,nuda,zena
1,90.26771945751427,2.898692499590868,0.0363552485709846,neutral,muz
2,1.8609835010483096,0.02496767144738632,-0.12301788326078199,nuda,muz
3,-30.89012123599985,-0.08750267627488384,-0.06891922956543506,neutral,muz
4,-56.530495252359586,-0.13478145972602684,-0.04072367655598724,nuda,muz
5,-39.507958526464044,-0.49341240346695736,-0.05946294591025305,neutral,muz
6,-37.53127795519087,-0.5277417290360478,-0.05466385001166467,nuda,muz
1,59.74716633219772,0.10544514680149554,-0.0003994175767723677,neutral,muz
2,-13.585630438127147,-0.00011506996270820025,0.0007454252155338138,nuda,muz
3,-17.23249062158444,-0.00027656580386299645,-0.0005776567813150163,neutral,muz
4,-17.36618098750146,0.0002019243531176801,-8.901598003562179e-05,nuda,muz
5,-8.927026634956803,0.00021894279604110778,0.00048215794005276354,neutral,muz
6,-19.25437214780326,-0.00044824354649083964,-0.0010149564311903044,nuda,muz
1,52.95091009376722,0.3846074091747436,-9.450007584524932e-05,neutral,muz
2,22.398597799201312,-0.012878288335488985,3.580862486564115e-05,pozitivni,muz
3,21.091228351322357,-0.017678183894311972,0.0011655040160313663,neutral,muz
4,12.359008888528535,-0.019102392839655757,-0.0014687667102365508,pozitivni,muz
5,29.156246976484155,-0.024136385569790197,-0.0051685725527047316,neutral,muz
6,-10.097462450125413,-0.028803147320448974,-0.001539994214031725,pozitivni,muz
1,36.37427644388002,0.3947407452650468,0.0017572826746952068,neutral,muz
2,-20.0671722050359,0.0005735753872205818,-0.0011720211515207244,pozitivni,muz
3,21.03536902708482,-0.00551660908713697,0.019881176761958427,neutral,muz
4,58.374284379192034,-0.014775791551006723,-0.00807498271617744,pozitivni,muz
5,-22.91318151851808,-0.013770617370329197,-0.001473918017567862,neutral,muz
6,-24.469915192028903,-0.008903538552616996,-0.0031169565583801335,pozitivni,muz
1,65.53549344546128,0.11858266176812511,-0.00013580404560544024,neutral,zena
2,-10.106054944155822,0.003502012011668415,0.00044698417903535424,pozitivni,zena
3,-15.822732063346947,0.010467326236792737,0.00033546326460258104,neutral,zena
4,-20.761731414666137,0.012161776008466033,0.00035633548208744803,pozitivni,zena
5,-14.268849823629637,0.016238406424673127,-0.00013512420209942314,neutral,zena
6,-25.40085083230037,0.018620716858653782,-1.6837753179886204e-05,pozitivni,zena
1,91.14268453080058,0.33860697139207235,-0.003703458785785266,neutral,muz
2,-22.454346770556754,0.0010389911603957414,0.008502875159434785,pozitivni,muz
3,-43.2027667092308,0.0022328637499051673,0.006862786178911465,neutral,muz
4,-48.19391548635952,0.0028166518237074945,0.00377866090957408,pozitivni,muz
5,-0.8571305496218713,0.008424578362342061,0.002925300454157449,neutral,muz
6,-34.01396060719208,0.006625220205932036,0.012157997264472578,pozitivni,muz
1,85.69192920423299,0.3540057531055745,-0.0014047124869501768,neutral,muz
2,-37.54570353789175,0.002027801501275961,0.00134690333045201,pozitivni,muz
3,-35.92179461508189,0.0007640449352592227,0.0004390632924704878,neutral,muz
4,-31.478686055265506,-0.0005505931967693112,0.0009531748128962988,pozitivni,muz
5,-37.19953055500236,0.008396716868857734,-0.0032789342971982346,neutral,muz
6,-47.755243879200684,0.006775093722573788,0.0011985849342225647,pozitivni,muz
1,71.0949179439483,1.3339629753906346,0.02169099884231134,neutral,muz
2,23.587204918729384,-0.05310898355619553,-0.034871144979634505,pozitivni,muz
3,15.137854238431785,-0.3900557936406873,-0.03592541892859095,neutral,muz
4,17.991786592032938,-0.34215757307887873,-0.05700646957843773,pozitivni,muz
1,70.16932103939652,0.0845728121934277,-0.001850174489242019,neutral,zena
2,-5.537715435923786,0.004028696992601971,-0.0033185045434797732,pozitivni,zena
3,1.8929771129512005,0.006907015299004934,-0.006175018687857382,neutral,zena
4,15.923563785705653,0.009942574675256277,-0.00320681256225249,pozitivni,zena
5,-4.872223373338542,0.03170282763589831,-0.0019534345924670056,neutral,zena
6,19.030060361430344,0.031325420297983964,-0.01179297403415171,pozitivni,zena
1,80.34461538461537,0.4256693622678957,-0.0063051104772872246,neutral,zena
2,-9.003232004656553,0.0046181427719415025,0.045571632664715124,pozitivni,zena
3,-7.186610655313473,-0.0023052187900511334,0.024114010196908862,neutral,zena
4,9.342097601918226,-0.00858560134080838,0.029312893685997966,pozitivni,zena
5,-18.12528524266569,0.009353188305146531,-0.011648130114915818,neutral,zena
6,-35.625851392088855,0.03891656008888,0.055315902084119954,pozitivni,zena
1,80.46769548249537,0.04776593880328686,0.0007039256247676512,neutral,zena
2,-7.756874190518047,-0.0011248757483365845,-0.0010827683234271572,pozitivni,zena
3,5.718447643199482,-0.0023513931893976853,-0.0005138037076471851,neutral,zena
4,5.482596076550962,0.00030279441138716945,-0.0022659299153719873,pozitivni,zena
5,-13.662945012492926,0.024208490754710307,-0.00046189278346958515,neutral,zena
6,-23.009655070370478,0.027499146400159838,-0.000719074914163221,pozitivni,zena
1,80.2852686001778,0.20627753850774472,0.005493135609124416,neutral,muz
2,-8.848987961059194,0.0074552221897567494,-0.008554883697128892,pozitivni,muz
1,82.54160480241141,0.4021875129183069,0.0008228363865678131,neutral,muz
2,4.161892035823499,0.007081476963790856,-0.0009629589909052912,pozitivni,muz
3,-3.1453047528398628,0.01862566344657779,-0.0025550374052528517,neutral,muz
4,0.3848209081531877,0.023443750455854895,-0.00031988433565754027,pozitivni,muz
5,-0.3186857224896755,0.059990140163513284,-0.0072535285399540576,neutral,muz
6,1.4560611395494476,0.06814584463495393,-0.0005351022133599486,pozitivni,muz
1,65.34534534534535,0.2996169978105945,0.000331692397610086,neutral,muz
2,0.14463349075386134,-0.0007613370708039469,-0.002072010275587308,pozitivni,muz
3,-3.5094529665729084,-0.019685296341356073,0.006500583418422889,neutral,muz
4,18.234735426182127,0.023927780370568308,-0.03751300575920979,pozitivni,muz
5,-7.066869531520339,0.23211231832757506,-0.025044420538295222,neutral,muz
6,1.0516473206821502,0.2630489321632892,-0.022563347130057077,pozitivni,muz
1,67.3566041045431,1.0801151154490702,-0.026677663085479943,neutral,muz
2,-5.517824226586221,0.02188212616238072,0.05785939688936211,pozitivni,muz
3,-1.7469802727622579,-0.0664778384711564,0.027165839048397256,neutral,muz
4,-2.845275356777748,-0.109469894239272,0.03104408216704347,pozitivni,muz
5,11.736952858194144,-0.33558057514725037,0.02712803370505201,neutral,muz
6,1.7516673286144169,-0.3535881914232062,0.028364733065690664,pozitivni,muz
1,72.72727272727276,0.27130559996077336,0.00586210359439061,neutral,zena
2,-13.73186354839764,0.005715907343035842,-0.007552713414556588,pozitivni,zena
3,-18.48236063709878,-0.01601200981852907,-0.014845919583217548,neutral,zena
4,10.281784749743721,-0.014552149586804397,-0.004414035208664241,pozitivni,zena
5,3.157285908237128,-0.01517202298263065,-0.0084635754253822,neutral,zena
6,12.203831008840979,-0.02313835686236107,-0.005353034148278308,pozitivni,zena
