,index,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,Index,Label,Condition,id
0,0.0,8.171143,0.0,61.430363864491845,0,0.10631209999999999,0.10627963645083713,0.10547792558741602,0.0008018014680550153,0,0,0,0,0,0,1,0,1,neutral,0
1,0.015873015873015872,4.619476,0.0,61.430363864491845,0,0.10632145506935835,0.10633024724535133,0.10547685231016765,0.0008534857670252803,0,0,0,0,0,0,0,1,1,neutral,0
2,0.031746031746031744,1.012955,0.0,61.430363864491845,0,0.10634703770239327,0.10638353624560083,0.10547578074264886,0.0009078465613877592,0,0,0,0,0,0,0,2,1,neutral,0
3,0.047619047619047616,-1.999756,0.0,61.430363864491845,0,0.10638512403654471,0.10643853287789229,0.10547471092406316,0.0009639132382358479,0,0,0,0,0,0,0,3,1,neutral,0
4,0.06349206349206349,-3.883957,0.0,61.430363864491845,0,0.10643199020925254,0.10649392653208378,0.10547364289414159,0.0010203751476867578,0,0,0,0,0,0,0,4,1,neutral,0
5,0.07936507936507936,-4.402542,0.0,61.430363864491845,0,0.10648391235795661,0.10654801071373848,0.1054725766931749,0.0010755257550030416,0,0,0,0,0,0,0,5,1,neutral,0
6,0.09523809523809523,-3.694092,0.0,61.430363864491845,0,0.1065371666200968,0.10659865435637202,0.10547151236204586,0.0011272339528077004,0,0,0,0,0,0,0,6,1,neutral,0
7,0.1111111111111111,-2.228424,0.0,61.430363864491845,0,0.10658802913311302,0.10664330778517359,0.10547044994226056,0.0011729500247738471,0,0,0,0,0,0,0,7,1,neutral,0
8,0.12698412698412698,-0.6973572,0.0,61.430363864491845,0,0.10663277603444517,0.10667904749828612,0.1054693894759778,0.001209750426875578,0,0,0,0,0,0,0,8,1,neutral,0
9,0.14285714285714285,0.1425934,0.0,61.430363864491845,0,0.10666768346153309,0.10670266038096421,0.10546833100603475,0.0012344220015202472,0,0,0,0,0,0,0,9,1,neutral,0
10,0.15873015873015872,-0.4012451,0.0,61.430363864491845,0,0.1066890275518167,0.10671076450234995,0.10546727457596743,0.0012435827743038233,0,0,0,0,0,0,0,10,1,neutral,0
11,0.1746031746031746,-2.732727,0.0,61.430363864491845,0,0.10669308444273583,0.1066999605017133,0.10546622023002396,0.0012338333402379538,0,0,0,0,0,0,0,11,1,neutral,0
12,0.19047619047619047,-6.769562,0.0,61.430363864491845,0,0.10667613027173042,0.10666700493527088,0.10546516801316896,0.0012019302105643892,0,0,0,0,0,0,0,12,1,neutral,0
13,0.20634920634920634,-11.83481,0.0,61.430363864491845,0,0.10663444117624035,0.1066089949728405,0.10546411797107698,0.0011449705094161411,0,0,0,0,0,0,0,13,1,neutral,0
14,0.2222222222222222,-16.67355,0.0,61.430363864491845,0,0.10656429329370547,0.10652355262290618,0.10546307015011307,0.0010605761989017596,0,0,0,0,0,0,0,14,1,neutral,0
15,0.23809523809523808,-19.73857,0.0,61.430363864491845,0,0.10646196276156566,0.10640899631282398,0.1054620245972991,0.0009470656593450793,0,0,0,0,0,0,0,15,1,neutral,0
16,0.25396825396825395,-19.58839,0.0,61.430363864491845,0,0.10632372571726087,0.10626448820590392,0.10546098136026426,0.0008036010064164697,0,0,0,0,0,0,0,16,1,neutral,0
17,0.2698412698412698,-15.3418,0.0,61.430363864491845,0,0.10614709807072345,0.1060901470872063,0.10545994048717885,0.000630300976995425,0,0,0,0,0,0,0,17,1,neutral,0
18,0.2857142857142857,-6.862625,0.0,61.430363864491845,0,0.10593577631588338,0.1058871188966052,0.10545890202667112,0.00042831146231725117,0,0,0,0,0,0,0,18,1,neutral,0
19,0.30158730158730157,5.233383,0.0,61.430363864491845,0,0.10569537914532529,0.10565759982558157,0.10545786602772689,0.00019982860486643096,0,0,0,0,0,0,0,19,1,neutral,0
20,0.31746031746031744,19.89255,0.0,61.430363864491845,0,0.10543152586166898,0.10540481002280173,0.10545683253957298,-5.192749592817397e-05,0,0,0,0,0,0,0,20,1,neutral,0
21,0.3333333333333333,35.90082,0.0,61.430363864491845,0,0.10514983576753437,0.10513291903637205,0.10545580161154544,-0.00032278734130700756,0,0,0,0,0,0,0,21,1,neutral,0
22,0.3492063492063492,52.1236,0.0,61.430363864491845,0,0.10485592816554136,0.1048469268694249,0.1054547732929446,-0.0006077509774487764,0,0,0,0,0,0,0,22,1,neutral,0
23,0.36507936507936506,67.59906,0.0,61.430363864491845,0,0.10455542235830977,0.10455250676089776,0.10545374763287925,-0.0009011452145356509,0,0,0,0,0,0,0,23,1,neutral,0
24,0.38095238095238093,81.53568,9.923129876926016,61.430363864491845,0,0.10425393764845953,0.10425581746387094,0.10545272468010285,-0.0011968113482516741,0,0,0,0,0,0,0,24,1,neutral,0
25,0.3968253968253968,93.38745,22.543197568386248,61.430363864491845,0,0.1039570933386105,0.10396329390697621,0.10545170448284492,-0.0014883144982055009,0,0,0,0,0,0,0,25,1,neutral,0
26,0.4126984126984127,102.9569,32.91522753379026,61.430363864491845,0,0.10367050873138253,0.10368142576349701,0.1054506870886413,-0.0017691650386605614,0,0,0,0,0,0,0,26,1,neutral,0
27,0.42857142857142855,110.5009,41.40700877055485,61.430363864491845,0,0.10339980312939556,0.10341653369899978,0.10544967254416669,-0.002033042350736116,0,0,0,0,0,0,0,27,1,neutral,0
