,index,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,Index,Label,Condition,id
0,0.0,-24.29269,0.0,75.31683765841883,0,2.6791890000000005,2.6791100813397093,2.677504892380477,0.0016053075889685877,0,0,0,0,0,0,1,0,1,neutral,0
1,0.015873015873015872,-27.69211,0.0,75.31683765841883,0,2.6793722805050932,2.6800523637863436,2.677543134619745,0.0025093477377561707,0,0,0,0,0,0,1,1,1,neutral,0
2,0.031746031746031744,-29.65775,0.0,75.31683765841883,0,2.6798945312565783,2.68101966952774,2.6775814224476613,0.003438365589383383,0,0,0,0,0,0,1,2,1,neutral,0
3,0.047619047619047616,-29.53363,0.0,75.31683765841883,0,2.680714366108764,2.6820370338331934,2.6776197552957637,0.004417396981584927,0,0,0,0,0,0,0,3,1,neutral,0
4,0.06349206349206349,-27.06509,0.0,75.31683765841883,0,2.6817903989159606,2.6831250434325793,2.677658132597602,0.005467029210665662,0,0,0,0,0,0,0,4,1,neutral,0
5,0.07936507936507936,-22.46054,0.0,75.31683765841883,0,2.683081243532478,2.6842976678858395,2.6776965537893096,0.006601232400412757,0,0,0,0,0,0,0,5,1,neutral,0
6,0.09523809523809523,-16.25238,0.0,75.31683765841883,0,2.684545513812624,2.685560690870895,2.6777350183102184,0.007825790789392861,0,0,0,0,0,0,0,6,1,neutral,0
7,0.1111111111111111,-9.09549,0.0,75.31683765841883,0,2.6861418236107086,2.686910857221006,2.677773525603519,0.009137449767652699,0,0,0,0,0,0,0,7,1,neutral,0
8,0.12698412698412698,-1.536804,0.0,75.31683765841883,0,2.687828786781042,2.6883357794471343,2.677812075116972,0.010523822398374232,0,0,0,0,0,0,0,8,1,neutral,0
9,0.14285714285714285,6.022339,0.0,75.31683765841883,0,2.6895650171779324,2.689814579668077,2.6778506663036636,0.011964031347244934,0,0,0,0,0,0,0,9,1,neutral,0
10,0.15873015873015872,13.25357,0.0,75.31683765841883,0,2.69130912865569,2.691319184848854,2.677889298622805,0.013430004120052453,0,0,0,0,0,0,0,10,1,neutral,0
11,0.1746031746031746,19.84039,0.0,75.31683765841883,0,2.6930197350686234,2.692816148241974,2.6779279715405617,0.014888294503117253,0,0,0,0,0,0,0,11,1,neutral,0
12,0.19047619047619047,25.45602,0.0,75.31683765841883,0,2.6946554502710423,2.6942688393856047,2.6779666845308943,0.016302272560624862,0,0,0,0,0,0,0,12,1,neutral,0
13,0.20634920634920634,29.83707,0.0,75.31683765841883,0,2.696174888117256,2.6956398290808274,2.6780054370763944,0.01763450961104289,0,0,0,0,0,0,0,13,1,neutral,0
14,0.2222222222222222,32.96503,0.0,75.31683765841883,0,2.6975366624615744,2.6968932936855516,2.678044228669096,0.018849182520225823,0,0,0,0,0,0,0,14,1,neutral,0
15,0.23809523809523808,35.09988,0.0,75.31683765841883,0,2.6986993871583054,2.697997273460134,2.6780830588112376,0.019914332046270248,0,0,0,0,0,0,0,15,1,neutral,0
16,0.25396825396825395,36.70801,0.0,75.31683765841883,0,2.6996216760617604,2.6989256407891933,2.6781219270159577,0.020803831060632785,0,0,0,0,0,0,0,16,1,neutral,0
17,0.2698412698412698,38.25742,0.0,75.31683765841883,0,2.700271894604756,2.6996596637199457,2.6781608328079063,0.021498948085857682,0,0,0,0,0,0,0,17,1,neutral,0
18,0.2857142857142857,39.99719,0.9662032726428844,75.31683765841883,0,2.700666717122571,2.7001890857996416,2.678199775723756,0.021989427132499604,0,0,0,0,0,0,0,18,1,neutral,0
19,0.30158730158730157,41.86908,2.647240175642647,75.31683765841883,0,2.7008377501509155,2.70051268157225,2.6782387553126035,0.02227404319540901,0,0,0,0,0,0,0,19,1,neutral,0
20,0.31746031746031744,43.5994,4.257222756416201,75.31683765841883,0,2.7008166045964934,2.700638284871643,2.6782777711362526,0.02236063054663104,0,0,0,0,0,0,0,20,1,neutral,0
21,0.3333333333333333,44.93924,5.712268986387302,75.31683765841883,0,2.7006348913660116,2.7005823209213458,2.678316822769383,0.02226561483498981,0,0,0,0,0,0,0,21,1,neutral,0
22,0.3492063492063492,45.84854,7.024225576903536,75.31683765841883,0,2.7003242213661744,2.700368900686277,2.678355909799605,0.022013107437771372,0,0,0,0,0,0,0,22,1,neutral,0
23,0.36507936507936506,46.57733,8.330426398748953,75.31683765841883,0,2.699916205503687,2.7000285555894346,2.678395031827409,0.021633640177458793,0,0,0,0,0,0,0,23,1,neutral,0
24,0.38095238095238093,47.5188,9.844618085721923,75.31683765841883,0,2.699442454685257,2.6995967024957297,2.678434188466032,0.02116263030570564,0,0,0,0,0,0,0,24,1,neutral,0
25,0.3968253968253968,48.99991,11.75783115199932,75.31683765841883,0,2.698934579817587,2.6991119335865776,2.6784733793412436,0.020638670378133758,0,0,0,0,0,0,0,25,1,neutral,0
26,0.4126984126984127,51.08099,14.144573629096652,75.31683765841883,0,2.698424191807385,2.698614224733418,2.678512604091085,0.02010173662811786,0,0,0,0,0,0,0,26,1,neutral,0
27,0.42857142857142855,53.5791,16.922954283175198,75.31683765841883,0,2.6979429015613534,2.698143150711851,2.6785518623655773,0.019591404181213894,0,0,0,0,0,0,0,27,1,neutral,0
28,0.4444444444444444,56.14478,19.883951869541093,75.31683765841883,0,2.6975223199862,2.697736187438398,2.67859115382642,0.01914514929222112,0,0,0,0,0,0,0,28,1,neutral,0
