,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
0,24.43634,5.659563738347653,65.6910569105691,0,0.45222820000000014,0.45213644452777635,0.411868065106723,0.04026837953813897,0,0,0,0,0,0,1
1,23.66812,0.7297822844590813,65.6910569105691,0,0.45191049021310076,0.45052255386869533,0.41163763597543407,0.03888491801054966,0,0,0,0,0,0,0
2,22.12592,0.0,65.6910569105691,0,0.45099683256914697,0.4488768677520222,0.41140705191338584,0.03746981595612605,0,0,0,0,0,0,0
3,18.92749,0.0,65.6910569105691,0,0.4495464346432557,0.4471386033466418,0.4111763173429236,0.03596228612140777,0,0,0,0,0,0,0
4,13.53149,0.0,65.6910569105691,0,0.44761850401054354,0.4452537597883708,0.4109454367081213,0.03430832319813758,0,0,0,0,0,0,0
5,5.762909,0.0,65.6910569105691,0,0.4452722482461273,0.4431792867135815,0.4107144144738908,0.03246487235777571,0,0,0,0,0,0,0
6,-3.969666,0.0,65.6910569105691,0,0.44256687492512375,0.4408861885219409,0.4104832551250092,0.030402933515212203,0,0,0,0,0,0,0
7,-14.80795,0.0,65.6910569105691,0,0.4395615916226495,0.4383613780726002,0.41025196316504015,0.028109415026034743,0,0,0,0,0,0,0
8,-25.51907,0.0,65.6910569105691,0,0.43631560591382135,0.435608221387453,0.41002054311513264,0.025587678390987502,0,0,0,0,0,0,0
9,-34.81046,0.0,65.6910569105691,0,0.43288812537375615,0.43264583174655497,0.40978899951269065,0.022856832352722414,0,0,0,0,0,0,0
10,-41.70752,0.0,65.6910569105691,0,0.4293383575775704,0.42950726795811495,0.4095573369099144,0.019949931167247907,0,0,0,0,0,0,0
11,-45.87123,0.0,65.6910569105691,0,0.42572551010038107,0.4262368625166378,0.40932555987222424,0.01691130276364862,0,0,0,0,0,0,0
12,-47.75151,0.0,65.6910569105691,0,0.42210879051730477,0.4228869491657847,0.4090936729765856,0.01379327630862015,0,0,0,0,0,0,0
13,-48.26826,0.0,65.6910569105691,0,0.4185474064034582,0.41951427690439475,0.40886168080976004,0.010652596214240077,0,0,0,0,0,0,0
14,-48.34792,0.0,65.6910569105691,0,0.41510056533395834,0.41617639128548817,0.40862958796651094,0.007546803438765161,0,0,0,0,0,0,0
15,-48.35097,0.0,65.6910569105691,0,0.41182747488392163,0.4129282376121788,0.4083973990477967,0.0045308386843509255,0,0,0,0,0,0,0
16,-47.84799,0.0,65.6910569105691,0,0.40878734262846494,0.4098191986059257,0.4081651186589833,0.0016540800670903424,0,0,0,0,0,0,0
17,-45.87415,0.0,65.6910569105691,0,0.40602753192486335,0.40689072594236003,0.4079327514081076,-0.001042025345422283,0,0,0,0,0,0,0
18,-41.60155,0.0,65.6910569105691,0,0.4035419484348341,0.4041746656102516,0.4077003019042189,-0.0035256361734663025,0,0,0,0,0,0,0
19,-34.9496,0.0,65.6910569105691,0,0.40130942300140904,0.4016923164531849,0.4074677747558228,-0.00577545818196297,0,0,0,0,0,0,0
20,-26.88954,0.0,65.6910569105691,0,0.39930878559639355,0.39945420458015984,0.40723517456944525,-0.00778096986843832,0,0,0,0,0,0,0
21,-19.23117,0.0,65.6910569105691,0,0.39751886619159293,0.3974605080760007,0.40700250594832954,-0.009541997751311336,0,0,0,0,0,0,0
22,-13.86084,0.0,65.6910569105691,0,0.3959184947588126,0.3957020298201185,0.40676977349127197,-0.011067743549967354,0,0,0,0,0,0,0
